"","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"551","sp|P22892|AP1G1_MOUSE","sp|P22892|AP1G1_MOUSE","8","8","8","AP-1 complex subunit gamma-1",1,8,8,8
"552","sp|P22907|HEM3_MOUSE","sp|P22907|HEM3_MOUSE","4","4","4","Porphobilinogen deaminase",1,4,4,4
"553","sp|P23116|EIF3A_MOUSE","sp|P23116|EIF3A_MOUSE","26","26","26","Eukaryotic translation initiation factor 3 subunit A",1,26,26,26
"554","sp|P23198|CBX3_MOUSE","sp|P23198|CBX3_MOUSE","9","9","7","Chromobox protein homolog 3",1,9,9,7
"555","sp|P23475|XRCC6_MOUSE","sp|P23475|XRCC6_MOUSE","2","2","2","X-ray repair cross-complementing protein 6",1,2,2,2
"556","sp|P23492|PNPH_MOUSE","sp|P23492|PNPH_MOUSE","16","16","16","Purine nucleoside phosphorylase",1,16,16,16
"557","sp|P23506|PIMT_MOUSE","sp|P23506|PIMT_MOUSE","5","5","5","Protein-L-isoaspartate(D-aspartate) O-methyltransferase",1,5,5,5
"558","sp|P23591|FCL_MOUSE","sp|P23591|FCL_MOUSE","4","4","4","GDP-L-fucose synthase",1,4,4,4
"559","sp|P23780|BGAL_MOUSE;sp|Q8VC60|GLB1L_MOUSE","sp|P23780|BGAL_MOUSE","8;1","8;1","8;1","Beta-galactosidase",2,8,8,8
"560","sp|P23953|EST1C_MOUSE","sp|P23953|EST1C_MOUSE","7","3","3","Carboxylesterase 1C",1,7,3,3
"561","sp|P24063|ITAL_MOUSE","sp|P24063|ITAL_MOUSE","14","14","14","Integrin alpha-L",1,14,14,14
"562","sp|P24270|CATA_MOUSE","sp|P24270|CATA_MOUSE","30","30","30","Catalase",1,30,30,30
"563","sp|P24369|PPIB_MOUSE","sp|P24369|PPIB_MOUSE","16","16","16","Peptidyl-prolyl cis-trans isomerase B",1,16,16,16
"564","sp|P24452|CAPG_MOUSE","sp|P24452|CAPG_MOUSE","15","15","15","Macrophage-capping protein",1,15,15,15
"565","sp|P24472|GSTA4_MOUSE","sp|P24472|GSTA4_MOUSE","11","11","9","Glutathione S-transferase A4",1,11,11,9
"566","sp|P24527|LKHA4_MOUSE","sp|P24527|LKHA4_MOUSE","31","31","31","Leukotriene A-4 hydrolase",1,31,31,31
"567","sp|P24547|IMDH2_MOUSE","sp|P24547|IMDH2_MOUSE","8","8","8","Inosine-5-monophosphate dehydrogenase 2",1,8,8,8
"568","sp|P24549|AL1A1_MOUSE","sp|P24549|AL1A1_MOUSE","41","41","23","Retinal dehydrogenase 1",1,41,41,23
"569","sp|P24638|PPAL_MOUSE","sp|P24638|PPAL_MOUSE","2","2","2","Lysosomal acid phosphatase",1,2,2,2
"570","sp|P24668|MPRD_MOUSE","sp|P24668|MPRD_MOUSE","6","6","6","Cation-dependent mannose-6-phosphate receptor",1,6,6,6
"571","sp|P25206|MCM3_MOUSE","sp|P25206|MCM3_MOUSE","11","11","11","DNA replication licensing factor MCM3",1,11,11,11
"572","sp|P25444|RS2_MOUSE","sp|P25444|RS2_MOUSE","14","14","14","40S ribosomal protein S2",1,14,14,14
"573","sp|P25799|NFKB1_MOUSE","sp|P25799|NFKB1_MOUSE","7","7","7","Nuclear factor NF-kappa-B p105 subunit",1,7,7,7
"574","sp|P25911|LYN_MOUSE;sp|P16277|BLK_MOUSE","sp|P25911|LYN_MOUSE","14;1","14;1","13;1","Tyrosine-protein kinase Lyn",2,14,14,13
"575","sp|P25976|UBF1_MOUSE","sp|P25976|UBF1_MOUSE","11","11","11","Nucleolar transcription factor 1",1,11,11,11
"576","sp|P26039|TLN1_MOUSE","sp|P26039|TLN1_MOUSE","145","145","136","Talin-1",1,145,145,136
"577","sp|P26040|EZRI_MOUSE","sp|P26040|EZRI_MOUSE","55","39","38","Ezrin",1,55,39,38
"578","sp|P26041|MOES_MOUSE","sp|P26041|MOES_MOUSE","79","79","61","Moesin",1,79,79,61
"579","sp|P26043|RADI_MOUSE","sp|P26043|RADI_MOUSE","35","16","16","Radixin",1,35,16,16
"580","sp|P26231|CTNA1_MOUSE","sp|P26231|CTNA1_MOUSE","29","29","25","Catenin alpha-1",1,29,29,25
"581","sp|P26350|PTMA_MOUSE","sp|P26350|PTMA_MOUSE","6","6","6","Prothymosin alpha",1,6,6,6
"582","sp|P26369|U2AF2_MOUSE","sp|P26369|U2AF2_MOUSE","11","11","11","Splicing factor U2AF 65 kDa subunit",1,11,11,11
"583","sp|P26443|DHE3_MOUSE","sp|P26443|DHE3_MOUSE","44","44","44","Glutamate dehydrogenase 1, mitochondrial",1,44,44,44
"584","sp|P26450|P85A_MOUSE;sp|Q9QZE2|CLNK_MOUSE","sp|P26450|P85A_MOUSE","3;1","2;0","2;0","Phosphatidylinositol 3-kinase regulatory subunit alpha",2,3,2,2
"585","sp|P26516|PSMD7_MOUSE","sp|P26516|PSMD7_MOUSE","6","6","6","26S proteasome non-ATPase regulatory subunit 7",1,6,6,6
"586","sp|P26638|SYSC_MOUSE","sp|P26638|SYSC_MOUSE","18","18","18","Serine--tRNA ligase, cytoplasmic",1,18,18,18
"587","sp|P26645|MARCS_MOUSE","sp|P26645|MARCS_MOUSE","6","6","6","Myristoylated alanine-rich C-kinase substrate",1,6,6,6
"588","sp|P26883|FKB1A_MOUSE","sp|P26883|FKB1A_MOUSE","4","4","4","Peptidyl-prolyl cis-trans isomerase FKBP1A",1,4,4,4
"589","sp|P27005|S10A8_MOUSE","sp|P27005|S10A8_MOUSE","7","7","7","Protein S100-A8",1,7,7,7
"590","sp|P27046|MA2A1_MOUSE","sp|P27046|MA2A1_MOUSE","11","11","11","Alpha-mannosidase 2",1,11,11,11
"591","sp|P27048|RSMB_MOUSE;sp|P63163|RSMN_MOUSE","sp|P27048|RSMB_MOUSE;sp|P63163|RSMN_MOUSE","4;4","4;4","4;4","Small nuclear ribonucleoprotein-associated protein B;Small nuclear ribonucleoprotein-associated protein N",2,4,4,4
"592","sp|P27546|MAP4_MOUSE","sp|P27546|MAP4_MOUSE","27","27","27","Microtubule-associated protein 4",1,27,27,27
"593","sp|P27601|GNA13_MOUSE","sp|P27601|GNA13_MOUSE","7","7","7","Guanine nucleotide-binding protein subunit alpha-13",1,7,7,7
"594","sp|P27612|PLAP_MOUSE","sp|P27612|PLAP_MOUSE","7","7","7","Phospholipase A-2-activating protein",1,7,7,7
"595","sp|P27641|XRCC5_MOUSE","sp|P27641|XRCC5_MOUSE","2","2","2","X-ray repair cross-complementing protein 5",1,2,2,2
"596","sp|P27659|RL3_MOUSE","sp|P27659|RL3_MOUSE","21","21","21","60S ribosomal protein L3",1,21,21,21
"597","sp|P27661|H2AX_MOUSE","sp|P27661|H2AX_MOUSE","13","7","5","Histone H2AX",1,13,7,5
"598","sp|P27773|PDIA3_MOUSE","sp|P27773|PDIA3_MOUSE","52","52","52","Protein disulfide-isomerase A3",1,52,52,52
"599","sp|P27870|VAV_MOUSE;sp|Q9R0C8|VAV3_MOUSE","sp|P27870|VAV_MOUSE","16;1","16;1","16;1","Proto-oncogene vav",2,16,16,16
"600","sp|P28063|PSB8_MOUSE","sp|P28063|PSB8_MOUSE","6","6","6","Proteasome subunit beta type-8",1,6,6,6
"601","sp|P28076|PSB9_MOUSE","sp|P28076|PSB9_MOUSE","3","3","3","Proteasome subunit beta type-9",1,3,3,3
"602","sp|P28078|DMA_MOUSE","sp|P28078|DMA_MOUSE","2","2","2","Class II histocompatibility antigen, M alpha chain",1,2,2,2
"603","sp|P28271|ACOC_MOUSE","sp|P28271|ACOC_MOUSE","17","17","17","Cytoplasmic aconitate hydratase",1,17,17,17
"604","sp|P28293|CATG_MOUSE","sp|P28293|CATG_MOUSE","3","3","3","Cathepsin G",1,3,3,3
"605","sp|P28352|APEX1_MOUSE","sp|P28352|APEX1_MOUSE","12","12","12","DNA-(apurinic or apyrimidinic site) endonuclease",1,12,12,12
"606","sp|P28474|ADHX_MOUSE","sp|P28474|ADHX_MOUSE","11","11","11","Alcohol dehydrogenase class-3",1,11,11,11
"607","sp|P28650|PURA1_MOUSE","sp|P28650|PURA1_MOUSE","4","2","2","Adenylosuccinate synthetase isozyme 1",1,4,2,2
"608","sp|P28653|PGS1_MOUSE","sp|P28653|PGS1_MOUSE","7","7","7","Biglycan",1,7,7,7
"609","sp|P28656|NP1L1_MOUSE","sp|P28656|NP1L1_MOUSE","10","8","8","Nucleosome assembly protein 1-like 1",1,10,8,8
"610","sp|P28658|ATX10_MOUSE","sp|P28658|ATX10_MOUSE","4","4","4","Ataxin-10",1,4,4,4
"611","sp|P28665|MUG1_MOUSE","sp|P28665|MUG1_MOUSE","4","3","3","Murinoglobulin-1",1,4,3,3
"612","sp|P28667|MRP_MOUSE","sp|P28667|MRP_MOUSE","2","2","2","MARCKS-related protein",1,2,2,2
"613","sp|P28798|GRN_MOUSE","sp|P28798|GRN_MOUSE","7","7","7","Progranulin",1,7,7,7
"614","sp|P28843|DPP4_MOUSE","sp|P28843|DPP4_MOUSE","8","8","8","Dipeptidyl peptidase 4",1,8,8,8
"615","sp|P28867|KPCD_MOUSE","sp|P28867|KPCD_MOUSE","7","7","7","Protein kinase C delta type",1,7,7,7
"616","sp|P29341|PABP1_MOUSE","sp|P29341|PABP1_MOUSE","29","29","29","Polyadenylate-binding protein 1",1,29,29,29
"617","sp|P29351|PTN6_MOUSE","sp|P29351|PTN6_MOUSE","34","34","34","Tyrosine-protein phosphatase non-receptor type 6",1,34,34,34
"618","sp|P29391|FRIL1_MOUSE;sp|P49945|FRIL2_MOUSE","sp|P29391|FRIL1_MOUSE;sp|P49945|FRIL2_MOUSE","17;10","17;10","17;10","Ferritin light chain 1;Ferritin light chain 2",2,17,17,17
"619","sp|P29416|HEXA_MOUSE","sp|P29416|HEXA_MOUSE","10","10","10","Beta-hexosaminidase subunit alpha",1,10,10,10
"620","sp|P29452|CASP1_MOUSE","sp|P29452|CASP1_MOUSE","6","6","6","Caspase-1",1,6,6,6
"621","sp|P29595|NEDD8_MOUSE","sp|P29595|NEDD8_MOUSE","4","4","4","NEDD8",1,4,4,4
"622","sp|P29758|OAT_MOUSE","sp|P29758|OAT_MOUSE","21","21","21","Ornithine aminotransferase, mitochondrial",1,21,21,21
"623","sp|P29788|VTNC_MOUSE","sp|P29788|VTNC_MOUSE","4","4","4","Vitronectin",1,4,4,4
"624","sp|P30115|GSTA3_MOUSE;sp|P13745|GSTA1_MOUSE;sp|P10648|GSTA2_MOUSE","sp|P30115|GSTA3_MOUSE","11;4;2","9;2;2","9;2;2","Glutathione S-transferase A3",3,11,9,9
"625","sp|P30275|KCRU_MOUSE","sp|P30275|KCRU_MOUSE","11","11","9","Creatine kinase U-type, mitochondrial",1,11,11,9
"626","sp|P30355|AL5AP_MOUSE","sp|P30355|AL5AP_MOUSE","3","3","3","Arachidonate 5-lipoxygenase-activating protein",1,3,3,3
"627","sp|P30416|FKBP4_MOUSE","sp|P30416|FKBP4_MOUSE","13","13","13","Peptidyl-prolyl cis-trans isomerase FKBP4",1,13,13,13
"628","sp|P30681|HMGB2_MOUSE","sp|P30681|HMGB2_MOUSE","20","15","15","High mobility group protein B2",1,20,15,15
"629","sp|P30999|CTND1_MOUSE","sp|P30999|CTND1_MOUSE","13","13","13","Catenin delta-1",1,13,13,13
"630","sp|P31001|DESM_MOUSE","sp|P31001|DESM_MOUSE","9","4","4","Desmin",1,9,4,4
"631","sp|P31230|AIMP1_MOUSE","sp|P31230|AIMP1_MOUSE","4","4","4","Aminoacyl tRNA synthase complex-interacting multifunctional protein 1",1,4,4,4
"632","sp|P31324|KAP3_MOUSE","sp|P31324|KAP3_MOUSE","13","13","10","cAMP-dependent protein kinase type II-beta regulatory subunit",1,13,13,10
"633","sp|P31428|DPEP1_MOUSE","sp|P31428|DPEP1_MOUSE","15","15","15","Dipeptidase 1",1,15,15,15
"634","sp|P31725|S10A9_MOUSE","sp|P31725|S10A9_MOUSE","10","10","10","Protein S100-A9",1,10,10,10
"635","sp|P31750|AKT1_MOUSE","sp|P31750|AKT1_MOUSE","2","2","2","RAC-alpha serine/threonine-protein kinase",1,2,2,2
"636","sp|P31786|ACBP_MOUSE","sp|P31786|ACBP_MOUSE","7","7","7","Acyl-CoA-binding protein",1,7,7,7
"637","sp|P31938|MP2K1_MOUSE","sp|P31938|MP2K1_MOUSE","8","8","3","Dual specificity mitogen-activated protein kinase kinase 1",1,8,8,3
"638","sp|P31996|CD68_MOUSE","sp|P31996|CD68_MOUSE","2","2","2","Macrosialin",1,2,2,2
"639","sp|P32020|SCP2_MOUSE","sp|P32020|SCP2_MOUSE","8","8","8","Sterol carrier protein 2",1,8,8,8
"640","sp|P32067|LA_MOUSE","sp|P32067|LA_MOUSE","20","20","20","Lupus La protein homolog",1,20,20,20
"641","sp|P32233|DRG1_MOUSE","sp|P32233|DRG1_MOUSE","5","5","5","Developmentally-regulated GTP-binding protein 1",1,5,5,5
"642","sp|P32921|SYWC_MOUSE","sp|P32921|SYWC_MOUSE","18","18","18","Tryptophan--tRNA ligase, cytoplasmic",1,18,18,18
"643","sp|P33267|CP2F2_MOUSE;sp|Q64458|CP2CT_MOUSE","sp|P33267|CP2F2_MOUSE","37;1","37;1","37;1","Cytochrome P450 2F2",2,37,37,37
"644","sp|P34022|RANG_MOUSE","sp|P34022|RANG_MOUSE","5","5","5","Ran-specific GTPase-activating protein",1,5,5,5
"645","sp|P34884|MIF_MOUSE","sp|P34884|MIF_MOUSE","3","3","3","Macrophage migration inhibitory factor",1,3,3,3
"646","sp|P35123|UBP4_MOUSE","sp|P35123|UBP4_MOUSE","3","3","3","Ubiquitin carboxyl-terminal hydrolase 4",1,3,3,3
"647","sp|P35242|SFTPA_MOUSE","sp|P35242|SFTPA_MOUSE","13","13","13","Pulmonary surfactant-associated protein A",1,13,13,13
"648","sp|P35278|RAB5C_MOUSE","sp|P35278|RAB5C_MOUSE","12","12","9","Ras-related protein Rab-5C",1,12,12,9
"649","sp|P35279|RAB6A_MOUSE;sp|P61294|RAB6B_MOUSE","sp|P35279|RAB6A_MOUSE;sp|P61294|RAB6B_MOUSE","9;6","9;6","8;5","Ras-related protein Rab-6A;Ras-related protein Rab-6B",2,9,9,8
"650","sp|P35282|RAB21_MOUSE","sp|P35282|RAB21_MOUSE","4","4","4","Ras-related protein Rab-21",1,4,4,4
"651","sp|P35293|RAB18_MOUSE","sp|P35293|RAB18_MOUSE","10","10","10","Ras-related protein Rab-18",1,10,10,10
"652","sp|P35329|CD22_MOUSE","sp|P35329|CD22_MOUSE","6","6","6","B-cell receptor CD22",1,6,6,6
"653","sp|P35459|LY6D_MOUSE","sp|P35459|LY6D_MOUSE","2","2","2","Lymphocyte antigen 6D",1,2,2,2
"654","sp|P35486|ODPA_MOUSE","sp|P35486|ODPA_MOUSE","16","16","16","Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",1,16,16,16
"655","sp|P35550|FBRL_MOUSE","sp|P35550|FBRL_MOUSE","10","10","9","rRNA 2-O-methyltransferase fibrillarin",1,10,10,9
"656","sp|P35564|CALX_MOUSE","sp|P35564|CALX_MOUSE","23","23","23","Calnexin",1,23,23,23
"657","sp|P35585|AP1M1_MOUSE;sp|Q9WVP1|AP1M2_MOUSE","sp|P35585|AP1M1_MOUSE","8;2","8;2","8;2","AP-1 complex subunit mu-1",2,8,8,8
"658","sp|P35601|RFC1_MOUSE","sp|P35601|RFC1_MOUSE","2","2","2","Replication factor C subunit 1",1,2,2,2
"659","sp|P35700|PRDX1_MOUSE","sp|P35700|PRDX1_MOUSE","24","24","23","Peroxiredoxin-1",1,24,24,23
"660","sp|P35737|DMB_MOUSE","sp|P35737|DMB_MOUSE","2","2","2","Class II histocompatibility antigen, M beta 1 chain",1,2,2,2
"661","sp|P35821|PTN1_MOUSE","sp|P35821|PTN1_MOUSE","5","5","5","Tyrosine-protein phosphatase non-receptor type 1",1,5,5,5
"662","sp|P35831|PTN12_MOUSE","sp|P35831|PTN12_MOUSE","15","15","15","Tyrosine-protein phosphatase non-receptor type 12",1,15,15,15
"663","sp|P35922|FMR1_MOUSE","sp|P35922|FMR1_MOUSE","3","3","2","Synaptic functional regulator FMR1",1,3,3,2
"664","sp|P35979|RL12_MOUSE","sp|P35979|RL12_MOUSE","11","11","11","60S ribosomal protein L12",1,11,11,11
"665","sp|P35980|RL18_MOUSE","sp|P35980|RL18_MOUSE","7","7","7","60S ribosomal protein L18",1,7,7,7
"666","sp|P35991|BTK_MOUSE;sp|Q60629|EPHA5_MOUSE;sp|Q03145|EPHA2_MOUSE;sp|P29319|EPHA3_MOUSE;sp|Q8CBF3|EPHB1_MOUSE;sp|P54763|EPHB2_MOUSE;sp|P54761|EPHB4_MOUSE;sp|P54754|EPHB3_MOUSE;sp|Q61772|EPHA7_MOUSE;sp|O09127|EPHA8_MOUSE;sp|Q62413|EPHA6_MOUSE","sp|P35991|BTK_MOUSE","5;1;1;1;1;1;1;1;1;1;1","5;1;1;1;1;1;1;1;1;1;1","5;1;1;1;1;1;1;1;1;1;1","Tyrosine-protein kinase BTK",11,5,5,5
"667","sp|P36371|TAP2_MOUSE","sp|P36371|TAP2_MOUSE","11","11","11","Antigen peptide transporter 2",1,11,11,11
"668","sp|P36423|THAS_MOUSE","sp|P36423|THAS_MOUSE","7","7","7","Thromboxane-A synthase",1,7,7,7
"669","sp|P36993|PPM1B_MOUSE","sp|P36993|PPM1B_MOUSE","3","2","2","Protein phosphatase 1B",1,3,2,2
"670","sp|P37040|NCPR_MOUSE","sp|P37040|NCPR_MOUSE","31","31","31","NADPH--cytochrome P450 reductase",1,31,31,31
"671","sp|P38060|HMGCL_MOUSE","sp|P38060|HMGCL_MOUSE","8","8","8","Hydroxymethylglutaryl-CoA lyase, mitochondrial",1,8,8,8
"672","sp|P38647|GRP75_MOUSE","sp|P38647|GRP75_MOUSE","30","30","30","Stress-70 protein, mitochondrial",1,30,30,30
"673","sp|P39054|DYN2_MOUSE","sp|P39054|DYN2_MOUSE","25","25","18","Dynamin-2",1,25,25,18
"674","sp|P39447|ZO1_MOUSE","sp|P39447|ZO1_MOUSE","9","9","9","Tight junction protein ZO-1",1,9,9,9
"675","sp|P39654|LOX15_MOUSE","sp|P39654|LOX15_MOUSE","16","16","16","Polyunsaturated fatty acid lipoxygenase ALOX15",1,16,16,16
"676","sp|P39749|FEN1_MOUSE","sp|P39749|FEN1_MOUSE","4","4","4","Flap endonuclease 1",1,4,4,4
"677","sp|P40124|CAP1_MOUSE;sp|Q9CYT6|CAP2_MOUSE","sp|P40124|CAP1_MOUSE","42;1","42;1","42;1","Adenylyl cyclase-associated protein 1",2,42,42,42
"678","sp|P40142|TKT_MOUSE","sp|P40142|TKT_MOUSE","49","49","49","Transketolase",1,49,49,49
"679","sp|P40240|CD9_MOUSE","sp|P40240|CD9_MOUSE","4","4","4","CD9 antigen",1,4,4,4
"680","sp|P40336|VP26A_MOUSE","sp|P40336|VP26A_MOUSE","14","14","13","Vacuolar protein sorting-associated protein 26A",1,14,14,13
"681","sp|P40630|TFAM_MOUSE","sp|P40630|TFAM_MOUSE","2","2","2","Transcription factor A, mitochondrial",1,2,2,2
"682","sp|P40936|INMT_MOUSE","sp|P40936|INMT_MOUSE","19","19","19","Indolethylamine N-methyltransferase",1,19,19,19
"683","sp|P41105|RL28_MOUSE","sp|P41105|RL28_MOUSE","11","11","11","60S ribosomal protein L28",1,11,11,11
"684","sp|P41216|ACSL1_MOUSE","sp|P41216|ACSL1_MOUSE","15","15","14","Long-chain-fatty-acid--CoA ligase 1",1,15,15,14
"685","sp|P41241|CSK_MOUSE;sp|P41242|MATK_MOUSE","sp|P41241|CSK_MOUSE","12;1","12;1","12;1","Tyrosine-protein kinase CSK",2,12,12,12
"686","sp|P41245|MMP9_MOUSE","sp|P41245|MMP9_MOUSE","4","4","4","Matrix metalloproteinase-9",1,4,4,4
"687","sp|P42125|ECI1_MOUSE","sp|P42125|ECI1_MOUSE","13","13","13","Enoyl-CoA delta isomerase 1, mitochondrial",1,13,13,13
"688","sp|P42208|SEPT2_MOUSE","sp|P42208|SEPT2_MOUSE","13","12","12","Septin-2",1,13,12,12
"689","sp|P42209|SEPT1_MOUSE","sp|P42209|SEPT1_MOUSE","9","9","9","Septin-1",1,9,9,9
"690","sp|P42225|STAT1_MOUSE","sp|P42225|STAT1_MOUSE","16","16","16","Signal transducer and activator of transcription 1",1,16,16,16
"691","sp|P42227|STAT3_MOUSE","sp|P42227|STAT3_MOUSE","13","13","13","Signal transducer and activator of transcription 3",1,13,13,13
"692","sp|P42567|EPS15_MOUSE","sp|P42567|EPS15_MOUSE","7","7","7","Epidermal growth factor receptor substrate 15",1,7,7,7
"693","sp|P42669|PURA_MOUSE","sp|P42669|PURA_MOUSE","11","9","9","Transcriptional activator protein Pur-alpha",1,11,9,9
"694","sp|P42932|TCPQ_MOUSE","sp|P42932|TCPQ_MOUSE","31","31","31","T-complex protein 1 subunit theta",1,31,31,31
"695","sp|P43024|CX6A1_MOUSE","sp|P43024|CX6A1_MOUSE","3","3","3","Cytochrome c oxidase subunit 6A1, mitochondrial",1,3,3,3
"696","sp|P43274|H14_MOUSE","sp|P43274|H14_MOUSE","22","8","8","Histone H1.4",1,22,8,8
"697","sp|P43275|H11_MOUSE","sp|P43275|H11_MOUSE","18","15","15","Histone H1.1",1,18,15,15
"698","sp|P43276|H15_MOUSE","sp|P43276|H15_MOUSE","19","14","14","Histone H1.5",1,19,14,14
"699","sp|P43277|H13_MOUSE","sp|P43277|H13_MOUSE","22","5","3","Histone H1.3",1,22,5,3
"700","sp|P43406|ITAV_MOUSE","sp|P43406|ITAV_MOUSE","2","2","2","Integrin alpha-V",1,2,2,2
"701","sp|P45376|ALDR_MOUSE","sp|P45376|ALDR_MOUSE","22","22","22","Aldo-keto reductase family 1 member B1",1,22,22,22
"702","sp|P45377|ALD2_MOUSE;sp|P21300|ALD1_MOUSE","sp|P45377|ALD2_MOUSE","5;1","5;1","5;1","Aldose reductase-related protein 2",2,5,5,5
"703","sp|P45878|FKBP2_MOUSE","sp|P45878|FKBP2_MOUSE","3","3","3","Peptidyl-prolyl cis-trans isomerase FKBP2",1,3,3,3
"704","sp|P45952|ACADM_MOUSE","sp|P45952|ACADM_MOUSE","18","18","18","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",1,18,18,18
"705","sp|P46061|RAGP1_MOUSE","sp|P46061|RAGP1_MOUSE","8","8","8","Ran GTPase-activating protein 1",1,8,8,8
"706","sp|P46062|SIPA1_MOUSE","sp|P46062|SIPA1_MOUSE","4","4","4","Signal-induced proliferation-associated protein 1",1,4,4,4
"707","sp|P46414|CDN1B_MOUSE","sp|P46414|CDN1B_MOUSE","2","2","2","Cyclin-dependent kinase inhibitor 1B",1,2,2,2
"708","sp|P46460|NSF_MOUSE","sp|P46460|NSF_MOUSE","18","18","18","Vesicle-fusing ATPase",1,18,18,18
"709","sp|P46467|VPS4B_MOUSE","sp|P46467|VPS4B_MOUSE","3","3","3","Vacuolar protein sorting-associated protein 4B",1,3,3,3
"710","sp|P46471|PRS7_MOUSE","sp|P46471|PRS7_MOUSE","13","13","13","26S proteasome regulatory subunit 7",1,13,13,13
"711","sp|P46638|RB11B_MOUSE;sp|P62492|RB11A_MOUSE;sp|Q9WTL2|RAB25_MOUSE","sp|P46638|RB11B_MOUSE;sp|P62492|RB11A_MOUSE","18;13;1","18;13;1","18;13;1","Ras-related protein Rab-11B;Ras-related protein Rab-11A",3,18,18,18
"712","sp|P46664|PURA2_MOUSE","sp|P46664|PURA2_MOUSE","8","8","6","Adenylosuccinate synthetase isozyme 2",1,8,8,6
"713","sp|P46735|MYO1B_MOUSE;sp|O88329|MYO1A_MOUSE","sp|P46735|MYO1B_MOUSE","10;1","10;1","10;1","Unconventional myosin-Ib",2,10,10,10
"714","sp|P46737|BRCC3_MOUSE","sp|P46737|BRCC3_MOUSE","3","3","3","Lys-63-specific deubiquitinase BRCC36",1,3,3,3
"715","sp|P46935|NEDD4_MOUSE","sp|P46935|NEDD4_MOUSE","3","3","2","E3 ubiquitin-protein ligase NEDD4",1,3,3,2
"716","sp|P46978|STT3A_MOUSE","sp|P46978|STT3A_MOUSE","11","11","10","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A",1,11,11,10
"717","sp|P47226|TES_MOUSE","sp|P47226|TES_MOUSE","2","2","2","Testin",1,2,2,2
"718","sp|P47738|ALDH2_MOUSE","sp|P47738|ALDH2_MOUSE","40","38","38","Aldehyde dehydrogenase, mitochondrial",1,40,38,38
"719","sp|P47739|AL3A1_MOUSE","sp|P47739|AL3A1_MOUSE","4","3","3","Aldehyde dehydrogenase, dimeric NADP-preferring",1,4,3,3
"720","sp|P47740|AL3A2_MOUSE","sp|P47740|AL3A2_MOUSE","15","15","14","Aldehyde dehydrogenase family 3 member A2",1,15,15,14
"721","sp|P47753|CAZA1_MOUSE","sp|P47753|CAZA1_MOUSE","17","13","13","F-actin-capping protein subunit alpha-1",1,17,13,13
"722","sp|P47754|CAZA2_MOUSE","sp|P47754|CAZA2_MOUSE","17","17","13","F-actin-capping protein subunit alpha-2",1,17,17,13
"723","sp|P47757|CAPZB_MOUSE","sp|P47757|CAPZB_MOUSE","21","21","21","F-actin-capping protein subunit beta",1,21,21,21
"724","sp|P47758|SRPRB_MOUSE","sp|P47758|SRPRB_MOUSE","6","6","6","Signal recognition particle receptor subunit beta",1,6,6,6
"725","sp|P47791|GSHR_MOUSE","sp|P47791|GSHR_MOUSE","19","19","19","Glutathione reductase, mitochondrial",1,19,19,19
"726","sp|P47811|MK14_MOUSE","sp|P47811|MK14_MOUSE","6","6","6","Mitogen-activated protein kinase 14",1,6,6,6
"727","sp|P47856|GFPT1_MOUSE;sp|Q9Z2Z9|GFPT2_MOUSE","sp|P47856|GFPT1_MOUSE","5;1","5;1","5;1","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1",2,5,5,5
"728","sp|P47911|RL6_MOUSE","sp|P47911|RL6_MOUSE","14","14","14","60S ribosomal protein L6",1,14,14,14
"729","sp|P47915|RL29_MOUSE","sp|P47915|RL29_MOUSE","9","9","9","60S ribosomal protein L29",1,9,9,9
"730","sp|P47934|CACP_MOUSE","sp|P47934|CACP_MOUSE","7","7","7","Carnitine O-acetyltransferase",1,7,7,7
"731","sp|P47941|CRKL_MOUSE","sp|P47941|CRKL_MOUSE","2","2","2","Crk-like protein",1,2,2,2
"732","sp|P47955|RLA1_MOUSE","sp|P47955|RLA1_MOUSE","4","4","4","60S acidic ribosomal protein P1",1,4,4,4
"733","sp|P47962|RL5_MOUSE","sp|P47962|RL5_MOUSE","21","21","21","60S ribosomal protein L5",1,21,21,21
"734","sp|P47963|RL13_MOUSE","sp|P47963|RL13_MOUSE","16","16","16","60S ribosomal protein L13",1,16,16,16
"735","sp|P47964|RL36_MOUSE","sp|P47964|RL36_MOUSE","3","3","3","60S ribosomal protein L36",1,3,3,3
"736","sp|P47968|RPIA_MOUSE","sp|P47968|RPIA_MOUSE","6","6","6","Ribose-5-phosphate isomerase",1,6,6,6
"737","sp|P48024|EIF1_MOUSE","sp|P48024|EIF1_MOUSE","5","5","2","Eukaryotic translation initiation factor 1",1,5,5,2
"738","sp|P48025|KSYK_MOUSE;sp|P43404|ZAP70_MOUSE;sp|Q8BZ25|ANKK1_MOUSE","sp|P48025|KSYK_MOUSE","18;1;1","18;1;1","18;1;1","Tyrosine-protein kinase SYK",3,18,18,18
"739","sp|P48036|ANXA5_MOUSE","sp|P48036|ANXA5_MOUSE","47","47","47","Annexin A5",1,47,47,47
